MINE_ID,CONTROLLER_ID,CONTROLLER_NAME,OPERATOR_ID,OPERATOR_NAME,CONTRACTOR_ID,DOCUMENT_NO,SUBUNIT_CD,SUBUNIT,ACCIDENT_DT,CAL_YR,CAL_QTR,FISCAL_YR,FISCAL_QTR,ACCIDENT_TIME,DEGREE_INJURY_CD,DEGREE_INJURY,FIPS_STATE_CD,UG_LOCATION_CD,UG_LOCATION,UG_MINING_METHOD_CD,UG_MINING_METHOD,MINING_EQUIP_CD,MINING_EQUIP,EQUIP_MFR_CD,EQUIP_MFR_NAME,EQUIP_MODEL_NO,SHIFT_BEGIN_TIME,CLASSIFICATION_CD,CLASSIFICATION,ACCIDENT_TYPE_CD,ACCIDENT_TYPE,NO_INJURIES,TOT_EXPER,MINE_EXPER,JOB_EXPER,OCCUPATION_CD,OCCUPATION,ACTIVITY_CD,ACTIVITY,INJURY_SOURCE_CD,INJURY_SOURCE,NATURE_INJURY_CD,NATURE_INJURY,INJ_BODY_PART_CD,INJ_BODY_PART,SCHEDULE_CHARGE,DAYS_RESTRICT,DAYS_LOST,TRANS_TERM,RETURN_TO_WORK_DT,IMMED_NOTIFY_CD,IMMED_NOTIFY,INVEST_BEGIN_DT,NARRATIVE,CLOSED_DOC_NO,COAL_METAL_IND
100003,41044,Lhoist Group,L13586,Lhoist North America ,,2.20121E+11,3,"STRIP, QUARY, OPEN PIT",14/03/2012,2012,1,2012,2,945,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,24,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",119,Not on this list,22321,600,12,POWERED HAULAGE,21,"CGHT I, U, B, MVNG & STTN OBJS",1,4.35,4.35,0.67,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",28,HANDLING SUPPLIES/MATERIALS,76,SURFACE MINING MACHINES,160,"CONTUSN,BRUISE,INTAC SKIN",700,MULTIPLE PARTS (MORE THAN ONE MAJOR),0,8,0,N,03/26/2012,? ,NO VALUE FOUND,,Employee was cleaning up at the Primary Crusher with the Dingo skid steer. The employee slipped and fell while operating the skid steer and the machine  pinned him against the cement retaining wall.,,M
100003,41044,Lhoist Group,L13586,Lhoist North America ,,2.2007E+11,30,MILL OPERATION/PREPARATION PLANT,8/01/2007,2007,1,2007,2,1105,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,700,10,HANDTOOLS (NONPOWERED),8,"STRUCK BY, NEC",1,0.02,0.02,0.02,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",30,HAND TOOLS (NOT POWERED),46,"AXE,HAMMER,SLEDGE",180,"CUT,LACER,PUNCT-OPN WOUND",100,"HEAD,NEC",0,0,0,N,1/09/2007,? ,NO VALUE FOUND,,Handle of sledgehammer broke and head of hammer hit employee in the forehead.,,M
100008,M31753,Alan B  Cheney,L31753,Cheney Lime & Cement Company,,2.20092E+11,30,MILL OPERATION/PREPARATION PLANT,4/07/2009,2009,3,2009,4,1000,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600,18,SLIP OR FALL OF PERSON,30,"OVER-EXERTION, NEC",1,10,2.15,2.15,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",13,CLIMB SCAFFOLDS/LADDERS/PLATFORMS,117,GROUND,330,"SPRAIN,STRAIN RUPT DISC",520,ANKLE,0,0,9,N,07/14/2009,? ,NO VALUE FOUND,,EMPLOYEE WAS CLIMBING DOWN A LADDER AND WHEN HE STEPPED TO THE GROUND HE SLIPPED AND SPRAINED HIS LEFT ANKLE.,3.20092E+11,M
100011,M11763,Imerys S A,L17074,Imerys Pigments LLC,,2.20004E+11,30,MILL OPERATION/PREPARATION PLANT,26/05/2000,2000,2,2000,3,1100,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,700,9,HANDLING OF MATERIALS,27,OVER-EXERTION IN LIFTING OBJS,1,,0.23,0.23,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",28,HANDLING SUPPLIES/MATERIALS,4,BAGS,330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),,5,,N,6/01/2000,13,NOT MARKED,,HE PULLED A BACK MUSCLE WHILE STACKING BAGS OF MATERIAL.,3.20004E+11,M
100011,M11763,Imerys S A,L17074,Imerys Pigments LLC,,2.2005E+11,30,MILL OPERATION/PREPARATION PLANT,22/01/2005,2005,1,2005,2,1430,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700,9,HANDLING OF MATERIALS,38,ABSRTN RAD CAUST TXC & NOX SBS,1,0.87,0.87,0.38,382,"Front-end loader, Scraper-loader operator, Pan operator, Payloader, Scraper rig operator",96,WORKING WITH CHEMICALS,21,"ACIDS,ALKALI,WET CEMENT",130,"BURN,CHEMICL-FUME,COMPOUN",330,HAND (NOT WRIST OR FINGERS),0,5,0,N,2/01/2005,? ,NO VALUE FOUND,01/22/2005,EE hands began to break out in a rash after he handled material coated with stearic acid. He was placed on restricted duty on 1/25/05 after first dr visit. EE did not notify management until second hand began to break out.,,M
100011,M11763,Imerys S A,L17074,Imerys Pigments LLC,,2.20061E+11,30,MILL OPERATION/PREPARATION PLANT,29/03/2006,2006,1,2006,2,1130,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700,21,OTHER,26,"BODILY REACTION, NEC",1,5.62,5.62,5.62,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",39,MACHINE MAINTENANCE/REPAIR,2,BODILY MOTION,330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0,3,0,N,4/04/2006,? ,NO VALUE FOUND,,EE was reaching for air supply cutoff valve.,3.20061E+11,M
100011,M11763,Imerys S A,90005,Imerys Carbonates LLC,,2.20091E+11,30,MILL OPERATION/PREPARATION PLANT,8/10/2008,2008,4,2009,1,430,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,2300,10,HANDTOOLS (NONPOWERED),29,"OVREXRTN IN WLDNG, THRWNG OBJS",1,1.23,1.23,1.23,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",30,HAND TOOLS (NOT POWERED),46,"AXE,HAMMER,SLEDGE",330,"SPRAIN,STRAIN RUPT DISC",450,SHOULDERS (COLLARBONE/CLAVICLE/SCAPULA),0,0,0,,,? ,NO VALUE FOUND,,"While using sledge hammer, employee felt something ""Pull"" in right side. Dr released to full duty at time of accident.  Beginning December 2008 began seeking med treatment from personal dr.  Taken out of work 1/21/09 by personal physician.  Deemed work related by comp dr on 3/25/09.",,M
100011,M11763,Imerys S A,90005,Imerys Carbonates LLC,,2.20122E+11,30,MILL OPERATION/PREPARATION PLANT,20/06/2012,2012,2,2012,3,930,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,24,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",119,Not on this list,S160,700,18,SLIP OR FALL OF PERSON,30,"OVER-EXERTION, NEC",1,21.54,21.54,21.54,368,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer",23,GET ON/OFF EQUIPMENT/MACHINES,76,SURFACE MINING MACHINES,330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0,21,0,N,07/20/2012,? ,NO VALUE FOUND,,Foot slipped while getting off bobcat.  Twisted back.,3.20122E+11,M
100016,M00201,Southdown Inc,L12716,Southdown Inc,,2.20003E+11,3,"STRIP, QUARY, OPEN PIT",19/09/2000,2000,3,2000,4,730,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,700,9,HANDLING OF MATERIALS,30,"OVER-EXERTION, NEC",1,,,,316,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",28,HANDLING SUPPLIES/MATERIALS,3,"BOILR,PRES VSL,AIR HOS,OX",400,"UNCLASSIFIED,NOT DETERMED",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),,10,,N,11/20/2000,13,NOT MARKED,,EE WAS STANDING ON A BARGE ANOTHER EE HANDED HERDUST COLLECTOR HOSE: SHE DROPPED IT AND SAID HER BACK WAS HURT. THE DR SAID LOW BACK PAIN ALLOTHER TESTS NEGATIVE. SENT TO PT 11/10/00 & PUT ON LIGHT DUTY UNTIL SEEN AGAIN ON 11/16/00,3.20003E+11,M
100021,M00024,Legacy Vulcan Corp (Form:Vulcan Materials Co),L16168,"Vulcan Constr. Materials, L.P.",,2.2006E+11,3,"STRIP, QUARY, OPEN PIT",1/02/2006,2006,1,2006,2,230,4,DYS AWY FRM WRK & RESTRCTD ACT,1,?,NO VALUE FOUND,?,NO VALUE FOUND,44,Ore haulage trucks - off highway trucks,18,Caterpillar,,1800,9,HANDLING OF MATERIALS,30,"OVER-EXERTION, NEC",1,20,12,12,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",39,MACHINE MAINTENANCE/REPAIR,86,METAL COVERS & GUARDS,260,HERNIA;RUPTURE,440,HIPS (PELVIS/ORGANS/KIDNEYS/BUTTOCKS),0,19,13,N,03/20/2006,? ,NO VALUE FOUND,,Employee was removing guard off of drive shaft to work on transmission and felt pain in his groin.  He did not request medical attention until 02/02/06 and was diagnosed with an inguinal hernia.  Physician placed employee on restricted duty and refererred to a specialist/general surgeon.  The specialist will do surgery at end of February.,3.20061E+11,M
